Source,,RecordedDate,Duration (in seconds),cf_insight1,cf_insight1_Justify,cf_insight_1_Timer_Page Submit,cf_insight2,cf_insight2_Justify,cf_insight2 Timer_Page Submit,cf_insight3,cf_insight3_Justify,cf_insight3 Timer_Page Submit,cf_Justification,st_insight1,st_insight1_Justify,st_insight_1_Timer_Page Submit,st_insight2,st_insight2_Justify,st_insight2 Timer_Page Submit,st_insight3,st_insight3_Justify,st_insight3 Timer_Page Submit,st_Justification,ss_insight1,ss_insight1_Justify,ss_insight_1_Timer_Page Submit,ss_insight2,ss_insight2_Justify,ss_insight2 Timer_Page Submit,ss_insight3,ss_insight3_Justify,ss_insight3 Timer_Page Submit,ss_Justification,Dataset,MSP,completionID,PROLIFIC_PID
Prolific,Yes,3/19/2022 15:48:50,618,Disagree,,33.27,Agree,,15.316,Disagree,,10.893,"So on this image it appears 209 patients went through the process of airway -&gt; breathing -&gt; pulse, but then 199 had pupil checked afterwards, not gcw. Secondary survey and coma scale are not even listed on here. There are indeed many variations if they deviated because at each checkpoint there is a branch that may lead to alternative orders.",Disagree,,27.214,Somewhat agree,,13.826,Disagree,,10.682,"Again, glasgow coma scale isn't even on this image. But it looks like there were less deviations from the standard procedure here because it was either pupil or secondary survey, then blanket or secondary survey. Less deviations than the first 2 images",Disagree,,139.527,Agree,,10.964,Disagree,,25.583,"Difficult to understand. I believe the top number is the number of patients who went through the descending process, with each subsequent number being the number of patients who had the next item assessed. Half of the patients did go airway -&gt; breathing -&gt; pulse -&gt; gcs but then did not have secondary survey. ",1,2,592701,5e79437d60e3c14ed20cc894
Prolific,Yes,3/28/2022 22:20:48,1088,Strongly disagree,,26.103,Somewhat agree,,30.146,Strongly disagree,,13.83,"The gcs step is not shown in the image, so any statement involving gcs cannot be evaluated.",Strongly disagree,,212.819,Disagree,,135.523,Strongly disagree,,40.147,"It is not clear where gcs (disabilities) occurs in the sequence in the image, which makes it difficult to understand.",Strongly disagree,,82.093,Agree,,18.724,Strongly disagree,,27.26,"The normal sequence of steps is not shown in any of the sequences in the image, which makes it difficult to compare a normal sequence to an abnormal one.",1,2,311949,5ed559e5afbd830e2117ed55
Prolific,Yes,3/30/2022 15:23:48,348,Disagree,,53.054,Disagree,,11.176,Disagree,,12.524,The blanket and temp had nothing to do with the facts that were given. It didn't make sense with the data given.,Agree,,31.352,Somewhat disagree,,11.352,Somewhat agree,,20.125,The image is easy to understand and shows when the surveys were taking place.,Somewhat agree,,26.722,Somewhat agree,,10.875,Disagree,,15.098,These facts confirmed that half of the people did it in the right order.,1,2,209726,60ff7377316fab2ad5f2a7d4
Prolific,Yes,4/5/2022 13:43:16,517,Strongly disagree,,30.967,Somewhat disagree,,13.412,Strongly disagree,,18.023,"This was a much easier picture to see the correct pathway of assessment, however, once the patient's assessment deviated from what should be followed, you could not determine what assessments they went through next.",Somewhat agree,,18.39,Disagree,,11.121,Agree,,10.79,"This image was easy to read what the proper order of assessment was, what happened when there were deviations.  You could also determine the assessment outline after the deviations from the norm occurred. ",Somewhat disagree,,122.281,Somewhat disagree,,31.589,Disagree,,26.242,At the top is the total number of patients that were assessed in the following order.  Then going down the line is how many of the initial patients then progressed on to the next type of assessment in the outlined order. The image is somewhat easy to read and understand. ,1,2,837994,60fcc830872e6203086fa1a6
Prolific,Yes,4/5/2022 13:51:54,706,Somewhat disagree,,59.711,Somewhat agree,,25.61,Somewhat agree,,22.712,This image was more difficult to understand than the last.  It shows deviations to the right but not what they were. ,Somewhat agree,,43.14,Somewhat disagree,,13.773,Agree,,14.43,This image is easier to follow although it doesn't show the order of the deviations only the gcs after secondary survey.   It is easy to see the number of gcs after secondary survey though.,Agree,,104.784,Somewhat agree,,27.738,Neither agree nor disagree,,102.934,I was confused as to if temp was a part of gcs if so yes the majority had gcs after secondary survey,1,2,686815,62349b3af3a0703917f6e7dd
Prolific,Yes,4/1/2022 10:35:06,509,Disagree,,25.909,Disagree,,13.38,Disagree,,12.413,There is no gcs or secondary survey in the above example. I could not locate them from this image and hence this image is difficult to interpret,Somewhat agree,,24.769,Somewhat agree,,10.913,Somewhat agree,,10.997,This image is much more easy to interpret than the other 2 images. I could see the straight flow and the deviations happening easily,Disagree,,124.155,Strongly agree,,16.646,Strongly disagree,,22.268,The image is somewhat easy to understand of how the flow was conducted. But I could not deduce the fact that almost half the patients went through airway-pulse-gcs-secondary survey. I could only determine 77 out of 215 that took it and only 35 who followed the entire order,1,3,147010,614f3f044ab295ed97809caa
Prolific,Yes,4/7/2022 7:39:19,783,Strongly disagree,,60.401,Strongly disagree,,16.092,Strongly disagree,,10.395,"Most of the items in the process don't even appear on the chart, so there's no way to tell if they're true or not.",Disagree,,109.505,Disagree,,35.306,Strongly disagree,,11.712,"GCS doesn't appear at all, so it's impossible to factor that in.  It doesn't show all the different variations that might be possible.",Disagree,,111.458,Somewhat disagree,,41.031,Strongly disagree,,27.629,"It's clear to see that it was less than half that followed the correct order, but you can tell they don't deviate too much. There's no instance where GCS comes after secondary survey.",1,3,349052,5ddc3d39fce606ba6f9e1fa4
Prolific,Yes,4/10/2022 21:39:11,795,Disagree,,30.001,Disagree,,34.554,Strongly disagree,,12.975,I understood the diagram to have the lines continuing to the next activity tell you how many of the group did that activity. For the ones that didn't follow the branch that was labeled it was difficult to know if they were undergoing similar screenings or different screenings since it only shows the one pathway.,Agree,,25.267,Strongly disagree,,11.699,Strongly disagree,,11.208,I understood this diagram to tell you the number from the group that was completing the activity labeled. I didnt see anything labeled gcs so wasn't sure if pupil was an example of gcs. ,Disagree,,110.473,Strongly agree,,37.94,Strongly disagree,,22.917,"The reason I rated this image the way I did is, I interpreted that the number next to each activity was how many out of that group did the screening in the order presented on each line. I felt the diagram was easy to determine information from. The facts revolved around the order of the activities so I just tallied that number that completed the activity in the specified order or would look to see how varying parts of the screening was.",1,3,379039,60fe1a1aef4770645874259f
Prolific,Yes,4/11/2022 15:02:22,453,Disagree,,50.826,Agree,,21.198,Neither agree nor disagree,,72.313,"There is no explanation for what ""gcs"" entails in the background, so it's had to tell at what point that begins in the image.",Disagree,,12.307,Disagree,,11.557,Disagree,,11.691,"This image only shows one deviation from the path that was taken, and it doesn't even mention gcs.",Disagree,,60.58,Agree,,10.961,Disagree,,17.262,This image distinctly shows the different processes that were gone through and is easier to understand because it explicitly mentions gcs and secondary survey.,1,3,821047,6110d7f556da416401efdd5f
Acquintance,Yes,3/22/2022 19:37:28,644,Disagree,,20.355,Agree,,14.912,Somewhat agree,,12.142,It can be easily visualized from the image,Agree,,65.22,Agree,,26.584,Disagree,,19.006,The image was easy,Agree,,17.049,Disagree,,12.714,Disagree,,11.977,The image was difficult to understand,1,3,522363,6
Prolific,Yes,3/17/2022 18:15:56,415,Somewhat agree,,60.496,Somewhat agree,,19.977,Somewhat disagree,,58.736,dificult to understand ,Somewhat agree,,23.037,Somewhat disagree,,14.334,Neither agree nor disagree,,24.702,not good image,Agree,,15.58,Somewhat agree,,15.899,Neither agree nor disagree,,13.535,easier to read & understand,1,4,861668,5d1c006ac2696c0019647572
Prolific,Yes,3/17/2022 18:22:39,575,Strongly disagree,,17.895,Strongly disagree,,34.822,Strongly disagree,,11.155,"I don't even see 'GCS' displayed on the image, so I don't see how it can be confirmed from the Facts.",Strongly disagree,,13.589,Strongly disagree,,26.932,Strongly disagree,,32.454,It doesn't say GCS on the image.,Disagree,,62.257,Disagree,,21.298,Strongly disagree,,13.974,"I find it very difficult to understand because it seemed inconsistent with the Facts. I think something like this should have a visual guide to explain its steps,",1,4,220035,5a03d20a7ecfc50001be0a7a
Prolific,Yes,3/17/2022 18:34:55,1448,Strongly disagree,,176.646,Agree,,42.838,Disagree,,159.993,The image starts out fine with most patients getting the breathing and pulse test. The problems start with the pupil test and the blanket test. These terms need to be defined more inline with the standard check up. They are not defined enough to answer the questions properly.,Somewhat disagree,,81.473,Disagree,,14.633,Neither agree nor disagree,,56.892,"Airway, breathing, pulse are all easy to understand. Is pupil and blanket part of the secondary survey? These need to be answered to answer the questions.",Strongly disagree,,71.175,Agree,,22.601,Strongly disagree,,42.256,"There are several terms that are vague and hard to attach to the questions asked. Temp, iv, pupil, are these all part of the secondary survey? The airway, breathing, pulse section is very straight forward.",1,4,749215,622ab357bb3af819f2e5df3b
Prolific,Yes,3/30/2022 8:11:54,527,Disagree,,15.483,Neither agree nor disagree,,10.979,Disagree,,11.133,The image was hard to understand and was missing airway and GCS for example.,Somewhat disagree,,55.183,Neither agree nor disagree,,12.67,Disagree,,26.437,"The image was difficult to understand because some activities are now shown in the image, such as GCS.",Disagree,,37.419,Strongly agree,,11.588,Strongly disagree,,15.369,"Although I see GCS included in some of the images now, it still does not follow the exact order as shown in the facts.",1,4,117113,5f8461c7c4a37809c686303d
Acquintance,Yes,3/30/2022 11:17:58,1437,Somewhat disagree,,19.648,Agree,,37.357,Disagree,,10.576,"Airway is missing from the pictures. In order to confirm the question about numbers, information about each activity should be present, possibly with label 0 (if that activity was not performed)",Somewhat disagree,,34.095,Agree,,36.301,Disagree,,10.754,"GCS is not present in the image at all. So, it is not easy to confirm whether majority had gcs after secondary_survey. The other labels are making it more confusing. ",Somewhat disagree,,193.45,Strongly agree,,29.875,Disagree,,77.855,"Activities in the fact are missing from the image. It is hard to comprehend whether the activity was not performed at all. Also, the other activities outside the five make things confusing. It is not possible to know someone without domain expertise to understand whether these activities are part of the key activities.",1,4,324067,6
Prolific,Yes,4/6/2022 17:09:14,520,Somewhat agree,,61.277,Somewhat agree,,11.701,Strongly disagree,,29.103,i see no gcp data listed,Somewhat disagree,,73.59,Disagree,,15.867,Agree,,18.081,140 is more than half,Somewhat agree,,55.873,Agree,,30.435,Strongly disagree,,18.666,only 3 had gcs after secondary survey,1,5,448071,5bc913d99427200001dd47f5
Prolific,Yes,4/6/2022 17:10:39,694,Disagree,,40.268,Somewhat disagree,,14.092,Strongly disagree,,20.807,GCS is not listed,Disagree,,87.296,Disagree,,42.386,Strongly disagree,,40.082,THese charts are hard to interpret. I passed the previous test which used football maneurvers but this? It seems deliberately designed to confuse.  I don't know what it's depicting. Period.,Disagree,,58.861,Agree,,26.94,Strongly disagree,,23.57,Looks like just 3 to me,1,5,507682,5dcea7314d51e4107516c80d
Prolific,Yes,4/6/2022 17:12:23,505,Disagree,,17.432,Agree,,19.436,Somewhat agree,,11.308,"again, I think the forks in the dataset indicate the number of instances where there was a deviation from the standard procedure. This does not add up to at least half.",Neither agree nor disagree,,63.329,Somewhat agree,,11.599,Agree,,38.193,"I am still not sure how I passed the screener as this data set and others similar are still a bit confusing to me. That being said, it seems as thought the facts as presented are accurate, and that at least 73 had to undergo the secondary survey. Although I do not think it is accurate to say at least or more than half did if I am reading the data correctly.",Disagree,,22.489,Agree,,11.122,Somewhat disagree,,11.252,"According to what I can tell on this visual, more than half went through the correct process correctly. This image is still difficult for me to wrap my mind around, but it appears that only 56 patients were deviated from the correct order.",1,5,671525,5f4e786b08d145055962a9b8
Prolific,Yes,4/6/2022 17:13:43,975,Disagree,,287.045,Somewhat agree,,171.269,Disagree,,21.48,"It seems as though most of the participants followed the correct path. With this being said, although main deviation is after pupil, there still are two prominent deviations and one potential outlier.",Disagree,,20.653,Somewhat disagree,,13.05,Neither agree nor disagree,,24.78,"This was the most difficult organization form of raw data to analyze because it does not physically branch out deviations as the previous two methods did. Overall, this may be a fairly useful graphic but only in conjunction with the other two types.",Strongly disagree,,19.569,Somewhat agree,,17.328,Disagree,,15.447,Majority in 17 has gcs before secondary survey to my best understanding of data. In addition to this. the majority in 159 followed the correct pathway.,1,5,981230,5fdfb7d6e1442280fc095a66
Prolific,Yes,4/8/2022 18:12:03,407,Disagree,,84.333,Somewhat disagree,,18.44,Disagree,,12.064,The numbers in the image do not match up with the numbers in the explanations. The activities in the image are not all the same as the ones in the explanation. ,Disagree,,13.687,Disagree,,11.433,Somewhat disagree,,11.106,The numbers do not match. The names of the steps do not match.,Disagree,,27.924,Disagree,,11.424,Somewhat disagree,,18.911,The numbers do not match. The names of the steps do not match.,1,5,651175,5e9f3f09ccc75a0c345e4845
Acquintance,Yes,3/16/2022 12:50:22,901,Disagree,,95.107,Somewhat agree,,14.333,Somewhat disagree,,11.353,"this image is goof, but still misses some factors",Somewhat disagree,,28.359,Somewhat agree,,11.377,Disagree,,16.973,"there is only one image, which is simpler to read and understand.",Neither agree nor disagree,,37.226,Somewhat agree,,157.63,Disagree,,25.059,"it shows different steps for the process. and it includes some unnecessary steps, whihc are confusing.",1,5,789927,4
Prolific,Yes,3/15/2022 16:51:32,1331,Disagree,,103.235,Disagree,,89.672,Disagree,,65.394,"This one at first seemed easy to follow, but now I am unsure I read this correctly. The created issues has a line on top, which I am unsure if this is intentional or not. If it was, what was the line leading to, and why isn't touching the blue line underneath it (with the 80). The rest of the workflows were easy enough to follow, but it does seem like there is missing information on the image that could be helpful when reading the image.  ",Agree,,67.239,Disagree,,95.611,Agree,,59.625,"This image is a lot harder to understand. I think this is because I would loose track of certain lines, or forget to follow a certain path because so much is going on. The pull close request goes through the commit changes section which is can be confusing. I can't tell if it was intentional or accidentally done. There is also a line that is randomly placed (at least in my opinion) under the commit changes. I am unsure if it means anything or not. ",Strongly disagree,,69.832,Strongly disagree,,41.51,Agree,,75.959,"The image is somewhat east to understand, however I wasn't always 100% sure I was reading it correctly. It was relatively easy to follow how many activities were resolved by looking at each individual line. ",2,0,268302,6100bb35c693a33f330df010
Prolific,Yes,3/17/2022 22:48:23,1893,Strongly disagree,,43.812,Disagree,,24.376,Disagree,,43.159,I found this image difficult to read and it didn't match with the given facts.,Disagree,,59.897,Disagree,,141.481,Neither agree nor disagree,,89.775,"The image isn't exactly clear, but only 3 issues were created so some of the facts simply do not add up. There are numerous workflows that had changes committed without resolution, but the number does not match the number of issues created.",Neither agree nor disagree,,38.544,Disagree,,644.41,Disagree,,33.869,"The image was much easier to read, but the image doesn't match with the given facts on the previous pages.",2,0,870357,594a964c215cbd000146de75
Prolific,Yes,3/20/2022 17:18:14,2132,Strongly agree,,157.729,Strongly disagree,,88.76,Strongly disagree,,205.408,The flow of the image is not intuitive at all.  The issues created appear to be disjointed from the rest of the flow.  The image seems to indicate that there are 30 separate issues (or tickets?) created that have no classification. The section with committed changes makes much more sense to me. ,Strongly disagree,,359.457,Strongly disagree,,59.263,Strongly disagree,,80.935,There are only 3 created issues and 44 committed changes.  I understand that after a commit a pull happens however the image poorly shows the close of the pulls and open of new pulls.  This makes the image useless for analyzing the workflow.,Strongly disagree,,116.684,Strongly disagree,,69.76,Strongly disagree,,35.097,The number of commits without an issue created far exceeds the fact stated.  It appears there are 48 commits without a created issue.,2,0,359580,5e6c24959934271ef7a11ec7
Acquintance,Yes,3/19/2022 0:44:38,1296,Somewhat disagree,,41.201,Disagree,,26.764,Agree,,32.929,Image is somewhat difficult to understand,Disagree,,28.191,Agree,,12.357,Neither agree nor disagree,,11.872,It is easier to understand,Agree,,72.105,Disagree,,61.886,Neither agree nor disagree,,37.011,The image is somewhat confusing.,2,0,697353,6
Acquintance,Yes,3/19/2022 1:34:57,3517,Agree,,312.286,Disagree,,572.314,Somewhat agree,,73.672,The image is difficult to understand at the root.,Somewhat disagree,,72.898,Somewhat disagree,,69.737,Agree,,24.485,the numbers on the branches are sometimes confusing because of the closeness of the branches.,Agree,,35.156,Disagree,,118.012,Agree,,29.054,the image is easy,2,0,625388,6
Prolific,Yes,3/18/2022 11:41:40,522,Strongly disagree,,42.893,Strongly disagree,,12.93,Strongly disagree,,36.562,"The fact included ""In 17 workflows, multiple changes are committed without a previously created issue"", but my understanding of the figure is that creating an issue is what starts the workflow (so 38 issues created), so it is not possible to have any changes without first creating an issue.",Strongly agree,,16.697,Strongly disagree,,17.588,Strongly disagree,,31.752,"The fact states ""In 17 workflows, multiple changes are committed without a previously created issue"", but my understanding is that the workflow begins by creating an issue, so what is quoted previously is impossible.",Strongly disagree,,44.727,Strongly disagree,,30.627,Strongly disagree,,39.8,I dont' understand how this fact could be proven or disproven from this figure.,2,1,818302,5dd49ca7149f5348405ff49e
Acquintance,Yes,3/9/2022 11:44:04,2238,Strongly disagree,"After the second issue was created, the issue was either been resolved or implemented uncertain things.",199.094,Somewhat disagree,I think only the second commit change was resolved,102.846,Agree,only the second change was followed by resolving issue,120.882,,Neither agree nor disagree,"a little confused if 6 represents creating issues or commit changes, seems like commit changes followed creating issues",323.228,Somewhat disagree,seems like only the second commit was followed by resolved issue,111.819,Somewhat disagree,seems like creating issue at first,66.597,,Strongly disagree,after it has issue comment and more things,58.098,Disagree,"didn't see resolve issue, only close the request afterwards",93.437,Somewhat disagree,I am sorry but I really don't which one is 17 workflows,157.452,,2,1,783946,5
Acquintance,Yes,3/9/2022 12:29:27,2903,Disagree,8 issues created with nothing afterwards,50.302,Disagree,6 issues were resolved,68.932,Disagree,13 without previously created issue,846.12,,Agree,6 issues were created,58.42,Disagree,6 issues were resolved,160.545,Agree,changes were committed 11 and 6 workflows ,167.457,,Strongly disagree,"Seems like 7 issues that were created, nothing happened afterwards",128.373,Strongly disagree,"In 6 workflows, 3 issues were resolved",247.075,Strongly disagree,in 24 workflows,98.742,,2,1,895917,6
Acquintance,Yes,3/19/2022 22:56:31,3274,Somewhat agree,,177.136,Strongly disagree,,87.295,Disagree,,298.648,"Multiple changed committed to 13 workflows, could not find the rest from the image shown.",Strongly disagree,,320.358,Strongly agree,,158.62,Neither agree nor disagree,,529.17,"Only 44 workflows were shown in the image. For the last question, how many issues are among the created issues or from the without issues created workflow cannot be determined.",Somewhat agree,,49.301,Strongly disagree,,92.275,Disagree,,385.311,The image was difficult to understand.,2,1,861482,6
MTurk,Yes,3/11/2022 2:01:37,873,Somewhat agree,,55.64,Agree,,21.318,Agree,,11.326,The task on creating issues and committing codes are in a right position.,Agree,,21.613,Somewhat agree,,21.382,Agree,,15.735,It was easy to explain because the chart was in a good way.,Agree,,20.493,Neither agree nor disagree,,118.895,Agree,,17.177,The build system and the close pull request are not so confident in that position and it may be somewhat easy to the system.,2,1,671073,3
Prolific,Yes,3/17/2022 16:05:46,953,Agree,,66.072,Strongly agree,,42.364,Agree,,39.877,I see clear numbers to assess it has all the data in the description,Agree,,20.203,Agree,,11.305,Agree,,39.808,It provides information with data and names to assess,Strongly agree,,56.238,Strongly agree,,98.338,Strongly agree,,91.322,i see a great deal of info,2,2,564587,6115902def1430be1b35a3e1
Prolific,Yes,3/22/2022 20:52:53,246,Disagree,,11.784,Disagree,,15.518,Disagree,,12.909,"This was the same as the last diagram, so I don't have anything new to add.",Disagree,,16.87,Disagree,,11.046,Disagree,,13.31,"Same as the last diagram, although this was a little easier to follow because it had a visual diagram.",Disagree,,30.053,Agree,,14.067,Agree,,11.828,"It's a little hard to understand because I'm not familiar with the software, but I tried to read the labels and see how they matched with the description.",2,2,967871,60a1e1f4a3707c983a98f185
Prolific,Yes,3/28/2022 22:45:01,1446,Strongly disagree,,21.926,Strongly disagree,,24.403,Strongly disagree,,28.366,"I don't see any resolutions, only tails. There are no agendas or legends on the side, only implicity. It's difficult to understand because I didn't see multiple 'commit changes' after the 8 which were referenced. Also my level of background experience with that which made the data tree is completely insufficient.",Strongly disagree,,69.302,Disagree,,47.981,Somewhat disagree,,26.901,"I didn't find the referenced end activity, as well the image shows no ends like a node. The image has a curving nature, which is opposite how the questions are asked in terms of numbers of events occurring and their relationships in defined overlaps numerically. The questions are more definite or rigid. In this first example, I don't believe I could match numbers of things happening singly or together to the question too. That was the main flag of nope, unsolvable. ",Disagree,,91.655,Neither agree nor disagree,,105.188,Somewhat disagree,,100.507,"This one has a lot of data given, so it feels like there's some sort of completeness or valuable amount present. One could find the quality descriptors, like multiple changes without resolution or a created issue, and then think there were enough events to cover the question. It reminds one of something that is incomplete, but still important, true and with valuable information in it.",2,2,808965,5e09ffd8fa3d102a583771c1
Prolific,Yes,4/1/2022 17:38:01,657,Disagree,,50.841,Disagree,,31.289,Disagree,,29.282,"The position of the top ""create issue"" graphic is unclear. There is nothing that notes ""issue resolved"" at the bottom of any of the lines, nor is there any representation of ""comments"" mentioned when presenting the facts.",Strongly disagree,,32.21,Disagree,,12.224,Disagree,,22.328,"All three workflow branches end, but none of them indicate whether the issue was resolved or merely abandoned. The activity of ""resolution"" is not shown in the image. There is also no distinction between the two mentions of ""commit changes.""",Strongly disagree,,56.041,Strongly disagree,,25.64,Strongly agree,,31.518,"This image is extremely hard to understand, particularly the one with the ""8"" on the heading. What sort of workflow has changes made to something that was never an issue in the first place? The only one that made very clear sense to me was the workflow headed with an ""11,"" in which an issue was created but nothing happened to resolve it.",2,2,985874,5be8de2ed3560900015c743a
Acquintance,Yes,3/20/2022 19:31:45,5888,Disagree,,14.659,Somewhat disagree,,15.041,Somewhat agree,,13.409,It was the same as first one.,Somewhat agree,,537.84,Disagree,,52.55,Somewhat disagree,,37.493,I kind of did not understand the whole of the data given or the fact asked. I couldn't relate.,Strongly disagree,,36.276,Somewhat disagree,,40.168,Somewhat agree,,58.23,Easy than the previous one to understand.,2,2,498692,4
Acquintance,Yes,3/9/2022 18:42:35,2072,Somewhat agree,,143.995,Strongly disagree,,166.841,Disagree,,104.431,I tried to understand whether a fact is aligned with the graph. Based on that I rated the fact.,Strongly agree,,23.763,Strongly disagree,,11.498,Disagree,,55.744,I tried to find alignment of the facts with the figure and answer based on this.,Agree,,33.528,Strongly agree,,76.119,Strongly agree,,27.014,I tried to find alignment of the facts with the figure. I rated based on the findings.,2,2,195715,5
Prolific,Yes,3/29/2022 18:12:49,624,Strongly agree,,24.005,Strongly agree,,19.33,Strongly agree,,11.312,"this is easy for me to understand,starting from the top charges going down makes it easier to see",Strongly agree,,11.85,Strongly agree,,12.076,Strongly agree,,11.3,it is easy to see as it goes down the line.The image is very easy to look at and see whats going on,Agree,,75.535,Strongly agree,,77.191,Somewhat agree,,70.904,The image is difficult for me to understand after a certain point.,2,3,582184,5c0dbb9b9166290001253342
Prolific,Yes,3/31/2022 18:18:58,1372,Strongly agree,,20.879,Somewhat disagree,,113.775,Agree,,53.104,it was easit was easy to read and the numbers matched,Disagree,,87.533,Disagree,,142.702,Somewhat agree,,12.088,i was unable to tell this as the math did not match up or account for this. ,Neither agree nor disagree,,146.074,Agree,,113.485,Neither agree nor disagree,,18.682,it is difficult to read the chart,2,3,275849,5a99f17035237b0001128ff2
Prolific,Yes,4/7/2022 17:14:11,503,Disagree,,30.336,Strongly disagree,,33.81,Strongly agree,,23.03,Th flow chart clearly shows the 17 cases described in the fact,Strongly disagree,,11.078,Strongly disagree,,14.691,Strongly agree,,12.489,The image clearly shows the 17 cases described in the fact,Strongly disagree,,64.82,Strongly disagree,,59.829,Strongly disagree,,64.276,the activities in the fact are not shown in the image.,2,3,297467,6108295fdd0270d7544b5a8a
Prolific,Yes,4/7/2022 17:14:37,427,Strongly disagree,,34.546,Strongly disagree,,33.08,Strongly disagree,,35.377,I thought the image was a little understandable.  I could not base the facts on the image though.  They seemed to be false.,Strongly agree,,15.492,Strongly agree,,11.251,Strongly disagree,,15.115,The image was relatively easy to understand.  I feel like some of the activities could have been depicted. ,Strongly agree,,37.861,Strongly disagree,,33.273,Strongly disagree,,19.775,This image is hard to understand without some explanation.  I based my answers on my perception of the graph.,2,3,174663,5d7ff85ffec5620017b07c40
Acquintance,Yes,3/11/2022 13:28:11,2492,Somewhat agree,,227.623,Somewhat agree,,15.467,Somewhat disagree,,12.877,the image is easy to understand,Disagree,,120.131,Agree,,11.222,Somewhat disagree,,13.156,image are easy to understand,Somewhat agree,,116.279,Neither agree nor disagree,,223.695,Disagree,,62.862,the activities in the fact are not shown in the image. It is somewhat difficult to understand,2,3,162851,6
Acquintance,Yes,3/23/2022 1:39:44,1763,Agree,,250.303,Neither agree nor disagree,,18.757,Disagree,,12.308,The image is still confusing. ,Neither agree nor disagree,,106.193,Agree,,158.828,Neither agree nor disagree,,68.638,The image is somewhat confusing to me. ,Strongly disagree,,56.604,Disagree,,46.56,Disagree,,32.732,This image is easier to understand. ,2,3,469458,6
Prolific,Yes,3/30/2022 8:25:17,323,Agree,,17.532,Disagree,,17.9,Agree,,32.101,Everything was easy to read and determine if I agree or not,Disagree,,18.8,Agree,,11.901,Agree,,11.411,The graph was easy to read determine the answer to the questions ,Somewhat disagree,,47.829,Agree,,11.424,Neither agree nor disagree,,11.945,This chart was a little harder to read but I used it to determine the answers ,2,4,912559,5fd67cce91f9895969c0edee
Prolific,Yes,4/5/2022 15:11:26,592,Strongly disagree,,19.305,Strongly disagree,,11.541,Neither agree nor disagree,,40.487,"Unsure on this one. There are 17 workflows with one ""commit changes"" action, and there are no indications of created or resolved issues, so maybe that's what's being referred to. However, I don't know if ""commit changes"" necessarily means multiple changes, or if a single change would be considered ""commit changes"".",Strongly disagree,,33.882,Strongly disagree,,42.429,Strongly disagree,,37.197,"When issues were created or resolved is not indicated on the image. I see that there are 13 workflows which have multiple ""commit changes"" actions but that's less than the 17 mentioned in the fact, and I don't know what the issue status was.",Disagree,,37.579,Strongly disagree,,44.705,Agree,,28.237,"I can see that the charts titled ""8"" and ""16"" both meet the description of multiple changes committed without an issue being submitted. However, as I understand it those numbers are the number of workflows with this pattern so the total would be 24 workflows. I guess the statement would still be true of a subset of those statements (&lt;24) but it'd be a weird thing to ask, so I didn't choose strongly agree.",2,4,116613,5ec403bb09d0e02a060bd5e6
Prolific,Yes,4/7/2022 10:29:00,1245,Strongly disagree,,71.436,Somewhat disagree,,44.685,Somewhat disagree,,64.124,"The image is clear, but the facts presented did not always match what is shown in the graph, OR there seems to be information missing. For example, it is difficult to see when an issue is ""resolved"". Also one of the facts mentioned that 6 issues were created and never had changes done (to my understanding they were ignored), but on the image it appears that there were 15 such issues.",Strongly disagree,,39.89,Disagree,,88.319,Disagree,,19.464,"My justifications are the same as the first time. The facts are not supported as written by the date shown. Once again, there is no portion of this image that shows 6 issues being created where nothing happens. There appear to be 15. And once again, there is no indicator on this image to show that any issues were resolved after changes were made, rendering the other 2 facts difficult to gauge entirely.  ",Disagree,,81.344,Somewhat disagree,,93.877,Somewhat disagree,,133.742,"this image overall is a confusing way of displaying the data, in my opinion. despite that, if analyzed, it also does not prove the facts. for example, it stated that in 17 workflows, changes were made without creating an issue first. on the chart there are 2 areas where I looked to find this. The middle line does show changes being made without first creating an issue, but there are only 8 of these instances. the second to last line shows 16 cases where changes where made without creating an issue, yet none of these numbers represent the 17 workflows I was to look for. ",2,4,772959,60f96f9a4dd14494f27e1957
Acquintance,Yes,4/2/2022 0:48:41,6007,Agree,,218.175,Strongly disagree,,130.421,Disagree,,1150.633,I give a rating of 9 to this image. It is easier to understand than the earlier version of the image. I interpreted the image better,Agree,,48.45,Strongly disagree,,52.193,Disagree,,47.48,"I think this image is the same as the previous one. I can not notice any difference. As a result , I give the same score as 9",Agree,,87.912,Strongly disagree,,94.853,Agree,,132.012,I give a rating of 9 to this image .The image is easy to understand and is not very complicated,2,4,541363,6
Acquintance,Yes,3/15/2022 17:55:55,1769,Neither agree nor disagree,,16.613,Neither agree nor disagree,,15.968,Neither agree nor disagree,,24.688,The activities in the face are not shown in the image.,Neither agree nor disagree,,73.868,Neither agree nor disagree,,21.063,Neither agree nor disagree,,46.155,The activities in the face are not shown in the image.,Strongly disagree,,34.826,Strongly disagree,,56.64,Agree,,46.815,The image is somewhat easy to understand.,2,4,870860,6
